File Name,File Path,Width,Height,Aspect Ratio,Channels,Is Grayscale,File Size (Bytes),Format,Label
Au_pla_30535.jpg,Filtered Formatted photos/Au_pla_30535.jpg,256,256,1.0,3,False,17323,jpg,Authentic
Au_art_30063.jpg,Filtered Formatted photos/Au_art_30063.jpg,256,256,1.0,3,False,16086,jpg,Authentic
Au_pla_30253.jpg,Filtered Formatted photos/Au_pla_30253.jpg,256,256,1.0,3,False,11387,jpg,Authentic
Au_pla_20040.jpg,Filtered Formatted photos/Au_pla_20040.jpg,256,256,1.0,3,False,18278,jpg,Authentic
Au_nat_10105.jpg,Filtered Formatted photos/Au_nat_10105.jpg,256,256,1.0,3,False,19377,jpg,Authentic
Au_arc_10118.jpg,Filtered Formatted photos/Au_arc_10118.jpg,256,256,1.0,3,False,11343,jpg,Authentic
Au_nat_10111.jpg,Filtered Formatted photos/Au_nat_10111.jpg,256,256,1.0,3,False,12885,jpg,Authentic
Au_art_30077.jpg,Filtered Formatted photos/Au_art_30077.jpg,256,256,1.0,3,False,11489,jpg,Authentic
Au_ani_00079.jpg,Filtered Formatted photos/Au_ani_00079.jpg,256,256,1.0,3,False,19133,jpg,Authentic
Tp_D_NRN_M_N_nat00014_nat00028_11038.jpg,Filtered Formatted photos/Tp_D_NRN_M_N_nat00014_nat00028_11038.jpg,256,256,1.0,3,False,10685,jpg,Tampered
Au_pla_30247.jpg,Filtered Formatted photos/Au_pla_30247.jpg,256,256,1.0,3,False,10290,jpg,Authentic
Au_pla_20054.jpg,Filtered Formatted photos/Au_pla_20054.jpg,256,256,1.0,3,False,15510,jpg,Authentic
Tp_D_NNN_S_N_ani10200_ani10199_12409.jpg,Filtered Formatted photos/Tp_D_NNN_S_N_ani10200_ani10199_12409.jpg,256,256,1.0,3,False,7239,jpg,Tampered
Au_pla_30521.jpg,Filtered Formatted photos/Au_pla_30521.jpg,256,256,1.0,3,False,16789,jpg,Authentic
Tp_D_NRN_S_N_nat10139_ani00005_11950.jpg,Filtered Formatted photos/Tp_D_NRN_S_N_nat10139_ani00005_11950.jpg,256,256,1.0,3,False,10973,jpg,Tampered
Au_pla_30509.jpg,Filtered Formatted photos/Au_pla_30509.jpg,256,256,1.0,3,False,6601,jpg,Authentic
Au_arc_30592.jpg,Filtered Formatted photos/Au_arc_30592.jpg,256,256,1.0,3,False,16123,jpg,Authentic
Au_ani_30192.jpg,Filtered Formatted photos/Au_ani_30192.jpg,256,256,1.0,3,False,7264,jpg,Authentic
Au_ani_00051.jpg,Filtered Formatted photos/Au_ani_00051.jpg,256,256,1.0,3,False,22236,jpg,Authentic
Tp_D_CRN_S_N_sec00071_art00028_11281.jpg,Filtered Formatted photos/Tp_D_CRN_S_N_sec00071_art00028_11281.jpg,256,256,1.0,3,False,18738,jpg,Tampered
Au_ani_30186.jpg,Filtered Formatted photos/Au_ani_30186.jpg,256,256,1.0,3,False,4519,jpg,Authentic
Au_ind_30088.jpg,Filtered Formatted photos/Au_ind_30088.jpg,256,256,1.0,3,False,12351,jpg,Authentic
Au_ani_00045.jpg,Filtered Formatted photos/Au_ani_00045.jpg,256,256,1.0,3,False,14430,jpg,Authentic
Au_pla_20068.jpg,Filtered Formatted photos/Au_pla_20068.jpg,256,256,1.0,3,False,14560,jpg,Authentic
Au_arc_30586.jpg,Filtered Formatted photos/Au_arc_30586.jpg,256,256,1.0,3,False,11812,jpg,Authentic
Au_cha_30003.jpg,Filtered Formatted photos/Au_cha_30003.jpg,256,256,1.0,3,False,18703,jpg,Authentic
Au_nat_30570.jpg,Filtered Formatted photos/Au_nat_30570.jpg,256,256,1.0,3,False,10058,jpg,Authentic
Tp_S_NNN_S_N_art00022_art00022_20083.jpg,Filtered Formatted photos/Tp_S_NNN_S_N_art00022_art00022_20083.jpg,256,256,1.0,3,False,21652,jpg,Tampered
Tp_D_NRN_M_N_nat10126_cha10110_11535.jpg,Filtered Formatted photos/Tp_D_NRN_M_N_nat10126_cha10110_11535.jpg,256,256,1.0,3,False,20296,jpg,Tampered
Au_arc_20018.jpg,Filtered Formatted photos/Au_arc_20018.jpg,256,256,1.0,3,False,16218,jpg,Authentic
Au_nat_30216.jpg,Filtered Formatted photos/Au_nat_30216.jpg,256,256,1.0,3,False,11852,jpg,Authentic
